Author	n (strains)	publication title	journal	publication URL	strains
Matt Storey et al A	9	unknown	unknown	unknown	NewZealand/20VR1900/2020,NewZealand/20VR1020/2020,NewZealand/20VR0914/2020,NewZealand/20VR2011/2020,NewZealand/20VR2001/2020,NewZealand/20VR1804/2020,NewZealand/20VR1756/2020,NewZealand/20VR1581/2020,NewZealand/20VR0712/2020
Tze Minn Mak et al	63	unknown	unknown	unknown	Singapore/52cul/2020,Singapore/1389/2020,PapuaNewGuinea/3/2020,PapuaNewGuinea/10/2020,PapuaNewGuinea/13/2020,PapuaNewGuinea/6/2020,PapuaNewGuinea/7/2020,PapuaNewGuinea/11/2020,PapuaNewGuinea/12/2020,PapuaNewGuinea/19/2020,PapuaNewGuinea/20/2020,PapuaNewGuinea/18/2020,PapuaNewGuinea/28/2020,PapuaNewGuinea/15/2020,PapuaNewGuinea/33/2020,PapuaNewGuinea/41/2020,PapuaNewGuinea/37/2020,PapuaNewGuinea/39/2020,PapuaNewGuinea/12/2021,PapuaNewGuinea/13/2021,PapuaNewGuinea/51/2020,PapuaNewGuinea/46/2020,PapuaNewGuinea/50/2020,PapuaNewGuinea/49/2020,PapuaNewGuinea/48/2020,PapuaNewGuinea/47/2020,PapuaNewGuinea/53/2020,PapuaNewGuinea/52/2020,Singapore/1434/2020,Singapore/1434-2/2020,Singapore/1442/2020,Singapore/1441/2020,Singapore/1080/2020,Singapore/1128/2020,Singapore/55/2021,Singapore/108/2021,Singapore/1133/2020,Singapore/103/2021,Singapore/1521/2020,Singapore/1520/2020,Singapore/1430/2020,Singapore/270/2021,Singapore/186/2021,Singapore/314/2021,Brunei/3/2021,Singapore/154/2021,Singapore/257/2021,Singapore/1531/2020,Singapore/1074/2020,Singapore/71/2021,Singapore/1533/2020,Singapore/246/2021,Singapore/251/2021,Singapore/1532/2020,Singapore/1468/2020,Singapore/1392/2020,Singapore/135/2021,Brunei/6/2020,Brunei/7/2020,Brunei/1/2021,Brunei/2/2021,Singapore/1477/2020,Singapore/29/2021
Xiaoyun Ren et al	81	unknown	unknown	unknown	NewZealand/20VR3209/2020,NewZealand/20CV0306/2020,NewZealand/20CV0297/2020,NewZealand/20CV0434/2020,NewZealand/20CV0531/2020,NewZealand/20CV0527/2020,NewZealand/20CV0563/2020,NewZealand/20CV0556/2020,NewZealand/20CV0223/2020,NewZealand/20CV0063/2020,NewZealand/20CV0221/2020,NewZealand/20CV0362/2020,NewZealand/20CV0625/2020,NewZealand/20CV0701/2020,NewZealand/20CV0298/2020,NewZealand/20CV0273/2020,NewZealand/20CV0672/2020,NewZealand/20CV0658/2020,NewZealand/20CV0674/2020,NewZealand/20CV0675/2020,NewZealand/20CV0363/2020,NewZealand/21CV0048/2021,NewZealand/21CV0074/2021,NewZealand/21CV0055/2021,NewZealand/21CV0093/2021,NewZealand/21CV0116/2021,NewZealand/21CV0115/2021,NewZealand/20CV0662/2020,NewZealand/21CV0098/2021,NewZealand/21MV0077/2021,NewZealand/20CV0676/2020,NewZealand/20CV0724/2020,NewZealand/20VR1965/2020,NewZealand/20VR3112/2020,NewZealand/21MV0056/2021,NewZealand/21CV0102/2021,NewZealand/21CV0140/2021,NewZealand/21CV0134/2021,NewZealand/20VR3197/2020,NewZealand/20VR3755/2020,NewZealand/21CV0106/2021,NewZealand/20VR2052/2020,NewZealand/20VR3476/2020,NewZealand/21CV0035/2020,NewZealand/20CV0640/2020,NewZealand/20CV0664/2020,NewZealand/20CV0611/2020,NewZealand/20CV0608/2020,NewZealand/20CV0612/2020,NewZealand/20VR3879/2020,NewZealand/20CV0162/2020,NewZealand/20VR3919/2020,NewZealand/20CV0076/2020,NewZealand/20CV0191/2020,NewZealand/20CV0095/2020,NewZealand/20CV0166/2020,NewZealand/20CV0481/2020,NewZealand/20CV0627/2020,NewZealand/20CV0695/2020,NewZealand/21CV0154/2021,NewZealand/21CV0012/2021,NewZealand/21CV0007/2021,NewZealand/20CV0687/2020,NewZealand/21CV0068/2021,NewZealand/21MV0081/2021,NewZealand/21CV0111/2021,NewZealand/20VR3802/2020,NewZealand/20VR3804/2020,NewZealand/21CV0049/2021,NewZealand/20CV0454/2020,NewZealand/21MV0032/2021,NewZealand/20VR3119/2020,NewZealand/20VR3060/2020,NewZealand/20VR3110/2020,NewZealand/20CV0716/2020,NewZealand/21CV0135/2021,NewZealand/20CV0500/2020,NewZealand/20CV0503/2020,NewZealand/21MV0028/2021,NewZealand/21CV0045/2021,NewZealand/21CV0047/2021
Paul Cotter et al	1	unknown	unknown	unknown	Ireland/LS-NVRL-20G44005/2020
Jeong-Min Kim et al	8	unknown	unknown	unknown	SouthKorea/KCDC2181/2020,SouthKorea/KCDC2061/2020,SouthKorea/KCDC07/2020,SouthKorea/KCDC2013/2020,SouthKorea/KCDC2711/2020,SouthKorea/KCDC2301/2020,SouthKorea/KCDC2436/2020,SouthKorea/KCDC2789/2020
Min Ji Kim et al	1	unknown	unknown	unknown	SouthKorea/IHC614/2020
Timms V et al	2	Revealing COVID-19 transmission in Australia by SARS-CoV-2 genome sequencing and agent-based modeling	unknown	https://www.nature.com/articles/s41591-020-1000-7	Australia/NSW76/2020,Australia/NSW219/2020
Adam Meijer et al	145	unknown	unknown	unknown	Aruba/AW-RIVM-10101/2020,Aruba/AW-RIVM-10122/2020,Curacao/CW-RIVM-10093/2020,Curacao/CW-RIVM-18416/2021,Netherlands/LI-RIVM-21272/2020,Aruba/AW-RIVM-11405/2021,Curacao/CW-RIVM-21723/2020,Curacao/CW-RIVM-21716/2020,Curacao/CW-RIVM-11644/2021,Curacao/CW-RIVM-21734/2020,Curacao/CW-RIVM-13011/2021,Curacao/CW-RIVM-21722/2020,Curacao/CW-RIVM-21712/2020,Curacao/CW-RIVM-21728/2020,Curacao/CW-RIVM-21727/2020,Curacao/CW-RIVM-21730/2020,Curacao/CW-RIVM-21732/2020,Curacao/CW-RIVM-21729/2020,Curacao/CW-RIVM-21715/2020,Curacao/CW-RIVM-11643/2021,Curacao/CW-RIVM-11649/2021,Aruba/AW-RIVM-10115/2020,Curacao/CW-RIVM-18429/2021,Aruba/AW-RIVM-11604/2021,Aruba/AW-RIVM-11601/2021,Curacao/CW-RIVM-15638/2021,Aruba/AW-RIVM-10746/2021,SintMaarten/SX-RIVM-10824/2021,SintMaarten/SX-RIVM-10828/2021,Aruba/AW-RIVM-10113/2020,Curacao/CW-RIVM-13016/2021,Aruba/AW-RIVM-11593/2021,Bonaire/BQ-RIVM-16187/2021,Bonaire/BQ-RIVM-16194/2021,Bonaire/BQ-RIVM-17623/2021,Bonaire/BQ-RIVM-17633/2021,Bonaire/BQ-RIVM-16957/2021,Aruba/AW-RIVM-13175/2021,Aruba/AW-RIVM-18334/2021,Aruba/AW-RIVM-17578/2021,Aruba/AW-RIVM-11732/2021,Aruba/AW-RIVM-17565/2021,Aruba/AW-RIVM-13651/2021,Aruba/AW-RIVM-15870/2021,Aruba/AW-RIVM-11427/2021,Aruba/AW-RIVM-10390/2020,Aruba/AW-RIVM-10388/2020,Curacao/CW-RIVM-10364/2020,Curacao/CW-RIVM-10365/2020,Aruba/AW-RIVM-11610/2021,Curacao/CW-RIVM-21707/2020,Curacao/CW-RIVM-21731/2020,Curacao/CW-RIVM-21711/2020,Aruba/AW-RIVM-11559/2021,Aruba/AW-RIVM-10326/2020,Curacao/CW-RIVM-21718/2020,Netherlands/UT-RIVM-21476/2020,Netherlands/NH-RIVM-21360/2020,Netherlands/ZH-RIVM-21330/2020,Curacao/CW-RIVM-13018/2021,Curacao/CW-RIVM-13013/2021,Aruba/AW-RIVM-10757/2021,Netherlands/UT-RIVM-12134/2021,Netherlands/FR-RIVM-20200/2020,Aruba/AW-RIVM-16032/2021,Bonaire/BQ-RIVM-15642/2021,Aruba/AW-RIVM-19144/2021,Curacao/CW-RIVM-21733/2020,Curacao/CW-RIVM-21717/2020,Aruba/AW-RIVM-12798/2021,Curacao/CW-RIVM-11651/2021,Aruba/AW-RIVM-11595/2021,Aruba/AW-RIVM-15502/2021,Curacao/CW-RIVM-13550/2021,Aruba/AW-RIVM-12788/2021,Aruba/AW-RIVM-11745/2021,Curacao/CW-RIVM-13328/2021,Curacao/CW-RIVM-16525/2021,Aruba/AW-RIVM-17627/2021,Aruba/AW-RIVM-13787/2021,Curacao/CW-RIVM-13010/2021,Curacao/CW-RIVM-11648/2021,Netherlands/NH-RIVM-18255/2021,Netherlands/NB-RIVM-16318/2021,Netherlands/NH-RIVM-14033/2021,Netherlands/OV-RIVM-18086/2021,Aruba/AW-RIVM-16053/2021,Netherlands/NH-RIVM-18183/2021,Netherlands/NH-RIVM-17463/2021,Netherlands/UT-RIVM-21618/2020,Curacao/CW-RIVM-15573/2021,Aruba/AW-RIVM-16040/2021,Curacao/CW-RIVM-16550/2021,Netherlands/NH-RIVM-19050/2021,Curacao/CW-RIVM-15596/2021,Bonaire/BQ-RIVM-15865/2021,Bonaire/BQ-RIVM-15944/2021,Curacao/CW-RIVM-16532/2021,Curacao/CW-RIVM-18448/2021,Bonaire/BQ-RIVM-16951/2021,Bonaire/BQ-RIVM-15631/2021,Bonaire/BQ-RIVM-16958/2021,Curacao/CW-RIVM-16566/2021,Curacao/CW-RIVM-15606/2021,Curacao/CW-RIVM-18439/2021,Curacao/CW-RIVM-18428/2021,Curacao/CW-RIVM-18426/2021,Curacao/CW-RIVM-16542/2021,Bonaire/BQ-RIVM-16925/2021,Bonaire/BQ-RIVM-15877/2021,Bonaire/BQ-RIVM-15643/2021,Bonaire/BQ-RIVM-16944/2021,Bonaire/BQ-RIVM-17634/2021,Bonaire/BQ-RIVM-16924/2021,Bonaire/BQ-RIVM-15950/2021,Bonaire/BQ-RIVM-16973/2021,Bonaire/BQ-RIVM-16942/2021,Bonaire/BQ-RIVM-16959/2021,Bonaire/BQ-RIVM-17622/2021,Bonaire/BQ-RIVM-17553/2021,Aruba/AW-RIVM-17568/2021,Aruba/AW-RIVM-18328/2021,Aruba/AW-RIVM-17613/2021,SintMaarten/SX-RIVM-14472/2021,Aruba/AW-RIVM-12807/2021,Aruba/AW-RIVM-17555/2021,Aruba/AW-RIVM-18299/2021,Aruba/AW-RIVM-18297/2021,Aruba/AW-RIVM-17580/2021,Aruba/AW-RIVM-17579/2021,Aruba/AW-RIVM-17614/2021,Curacao/CW-RIVM-15595/2021,Curacao/CW-RIVM-15615/2021,Curacao/CW-RIVM-18449/2021,Curacao/CW-RIVM-18425/2021,Curacao/CW-RIVM-18415/2021,Curacao/CW-RIVM-15640/2021,Curacao/CW-RIVM-15641/2021,Aruba/AW-RIVM-16734/2021,Aruba/AW-RIVM-17625/2021,Aruba/AW-RIVM-17556/2021,Aruba/AW-RIVM-17637/2021,Aruba/AW-RIVM-17600/2021,Aruba/AW-RIVM-16735/2021,Curacao/CW-RIVM-11653/2021
Kassela K. et al	1	Dominant and rare SARS-Cov2 variants responsible for the COVID-19 pandemic in Athens, Greece.	unknown	https://dx.doi.org/10.1101/2020.06.03.20121236	Greece/52_37266/2020
Michael Carr et al	7	unknown	unknown	unknown	Ireland/CE-NVRL-AIIDV1105v7/2020,Ireland/MO-NVRL-79IRL03919/2020,Ireland/D-NVRL-73IRL85097/2020,Ireland/KE-NVRL-79IRL02689/2020,Ireland/WW-NVRL-81IRL23430/2020,Ireland/L-NVRL-79IRL98312/2020,Ireland/WX-NVRL-72IRL33055/2020
Oluniyi P.E. et al A	2	SARS-CoV-2 Genomes from Nigeria Reveal Community Transmission, Multiple Virus Lineages and Spike Protein Mutation Associated with Higher Transmission and Pathogenicity	unknown	https://virological.org/t/sars-cov-2-genomes-from-nigeria-reveal-community-transmission-multiple-virus-lineages-and-spike-protein-mutation-associated-with-higher-transmission-and-pathogenicity/494	Nigeria/OY045A-CV35/2020,Nigeria/OS122-CV18/2020
Abu-Ali et al	1	unknown	unknown	unknown	Iraq/BAS-2/2020
Chandima Jeewandara et al	20	unknown	unknown	unknown	SriLanka/CDR142/2020,SriLanka/CDR-SL7066/2020,SriLanka/P8/2021,SriLanka/CMC60513/2020,SriLanka/CMC37019/2020,SriLanka/NR124/2021,SriLanka/W65/2020,SriLanka/CMC35812/2020,SriLanka/CK105352/2021,SriLanka/WB4/2020,SriLanka/CMC82395/2021,SriLanka/QA72/2021,SriLanka/CMC75126/2021,SriLanka/CV87946/2021,SriLanka/NR127/2021,SriLanka/CMC76300/2021,SriLanka/NR123/2021,SriLanka/CMC60597/2020,SriLanka/NR126/2021,SriLanka/NR128/2021
Amir Kaffashi et al	3	unknown	unknown	unknown	Iran/AK-SARS-27/2020,Iran/AK-SARS-48/2020,Iran/AK-SARS-A7/2020
Gopi Patel et al	1	Introductions and early spread of SARS-CoV-2 in the New York City area	unknown	https://dx.doi.org/10.1101/2020.04.08.20056929	USA/NY1-PV08001/2020
V Salimi et al	1	unknown	unknown	unknown	Iran/Gorgan-NIC992/2020
Sandrine Moreira et al	8	unknown	unknown	unknown	Canada/Qc-LSPQ-L00210314/2020,Canada/QC-HCLM-7056207836/2020,Canada/QC-HCLM-7056207507/2020,Canada/QC-L00324587001/2021,Canada/QC-L00324591001/2021,Canada/QC-HCLM-7051552577/2020,Canada/QC-HCLM-7056228771/2021,Canada/QC-HSE-0084063897/2020
Bas Oude Munnink et al	15	unknown	unknown	unknown	Bahrein/BAH-01/2020,Bahrein/BAH-18/2020,Bahrein/BAH-25/2020,Bahrein/BAH-13/2020,Bahrein/BAH-21/2020,Bahrein/BAH-03/2020,Netherlands/Gelderland_153/2020,Suriname/SR-61/2020,Suriname/SR-16/2020,Suriname/SR-17/2020,Suriname/SR-70/2020,Suriname/SR-35/2020,Suriname/SR-69/2020,Netherlands/ZH-EMC-1361/2020,Suriname/SR-62/2020
Ashley Jones et al	9	unknown	unknown	unknown	Australia/ACT0026/2020,Australia/ACT0084/2020,Australia/ACT0059/2020,Australia/ACT0051/2020,Australia/ACT0098/2021,Australia/ACT0095/2021,Australia/ACT0096/2021,Australia/ACT0097/2021,Australia/ACT0099/2021
Ilhem Boutiba-Ben Boubaker et al	12	unknown	unknown	unknown	Tunisia/7899/2020,Tunisia/1268/2021,Tunisia/53873/2020,Tunisia/1821/2021,Tunisia/63686/2020,Tunisia/2285/2021,Tunisia/21-2249/2021,Tunisia/1241/2021,Tunisia/1267/2021,Tunisia/1890/2021,Tunisia/69681/2020,Tunisia/1280/2021
J Yavarian et al	2	unknown	unknown	unknown	Iran/Tehran-09/2020,Iran/Urmia-715U/2020
Eden J-S et al	3	Revealing COVID-19 transmission in Australia by SARS-CoV-2 genome sequencing and agent-based modeling	unknown	https://www.nature.com/articles/s41591-020-1000-7	Australia/NSW05/2020,Australia/NSW04/2020,Australia/NSW01/2020
Fahd Al-Mulla et al	2	unknown	unknown	unknown	Kuwait/KU17/2020,Kuwait/KU006/2020
Matt Storey et al B	1	An emergent clade of SARS-CoV-2 linked to returned travellers from Iran	unknown	https://dx.doi.org/10.1101/2020.03.15.992818	NewZealand/20VR0174/2020
Rita Feghali et al	1	unknown	unknown	unknown	Lebanon/S5_762/2020
Rockett R et al	2	Revealing COVID-19 transmission in Australia by SARS-CoV-2 genome sequencing and agent-based modeling	unknown	https://www.nature.com/articles/s41591-020-1000-7	Australia/NSW09/2020,Australia/NSW10/2020
Pramod Kumar et al	1	Integrated genomic view of SARS-CoV-2 in India	unknown	https://dx.doi.org/10.1101/2020.06.04.128751	India/LA-NCDC-01614/2020
Al Wasti et al	1	unknown	unknown	unknown	Bahrain/140008296/2020
Jalees A. Nasir et al	1	unknown	unknown	unknown	Canada/ON_SHSC-01/2020
Zohreh Fattahi et al	1	unknown	unknown	unknown	Iran/GRC-43/2020
Samira Al-Maruqi et al	1	unknown	unknown	unknown	Oman/RESP-20-797/2020
Alexandr Shevtsov et al	3	unknown	unknown	unknown	Kazakhstan/26491/2020,Kazakhstan/16173/2020,Kazakhstan/NCB-2/2020
Zhang et al	1	A new coronavirus associated with human respiratory disease in China	unknown	https://dx.doi.org/10.1038/s41586-020-2008-3	Wuhan/Hu-1/2019
Ranjit Sah et al	1	Insights into The Codon Usage Bias of 13 Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Isolates from Different Geo-locations	unknown	http://biorxiv.org/lookup/doi/10.1101/2020.04.01.019463	Nepal/61/2020
Jianjun Chen et al	1	unknown	unknown	unknown	Wuhan/0125-A170/2020
Krisnoadi Rahardjo et al	1	unknown	unknown	unknown	Indonesia/JI-ITD-136N/2020
?	17	unknown	unknown	unknown	Guangzhou/GZMU0058/2020,Germany/BW-RKI-I-029662/2021,Germany/BY-RKI-I-011250/2021,Germany/BY-RKI-I-021646/2021,Germany/BY-RKI-I-013841/2020,Germany/BY-RKI-I-013595/2021,Germany/BY-RKI-I-013565/2020,Germany/TH-RKI-I-019328/2021,Germany/BW-RKI-I-021142/2021,Germany/NW-RKI-I-028686/2021,Germany/SN-RKI-I-026476/2021,Germany/BW-RKI-I-050067/2021,Germany/TH-RKI-I-044715/2021,Germany/NW-RKI-I-052070/2021,Germany/RP-RKI-I-021112/2021,Germany/HE-RKI-I-015140/2021,Germany/SL-RKI-I-014895/2021
Teemu Smura et al A	17	unknown	unknown	unknown	Finland/1/2020,Finland/S5CD7/2020,Finland/28MR7CB7_S284/2020,Finland/28MR17CG5_S327/2020,Finland/28MR1CG11_S102/2020,Finland/28MR2CF5_S316/2020,Finland/29MR9CD9_S108/2020,Finland/3KS4G31/2020,Finland/26MayS24A7/2020,Finland/HEL-22-V703/2021,Finland/HEL-22-V722/2021,Finland/16CH7/2020,Finland/28MR8CA7_S307/2020,Finland/HEL-22-906/2021,Finland/84HEL/2020,Finland/30J10DB3_S112/2020,Finland/30J1DE4_S127/2020
Kelvin K.W. To et al	22	unknown	unknown	unknown	HongKong/HKU-200723-051/2020,HongKong/HKU-200723-105/2020,HongKong/HKU-210308-L15/2021,HongKong/HKU-210308-L16/2021,HongKong/HKU-201216-354/2020,HongKong/HKU-210308-L31/2021,HongKong/HKU-210308-L26/2020,HongKong/HKU-210308-L3/2020,HongKong/HKU-210308-S9/2021,HongKong/HKU-201216-359/2020,HongKong/HKU-201216-356/2020,HongKong/HKU-210308-L33/2021,HongKong/HKU-201216-368/2020,HongKong/HKU-201216-370/2020,HongKong/HKU-201216-365/2020,HongKong/HKU-210308-L37/2021,HongKong/HKU-201216-358/2020,HongKong/HKU-201216-254/2020,HongKong/HKU-200723-106/2020,HongKong/HKU-200723-098/2020,HongKong/HKU-201216-236/2020,HongKong/HKU-200723-020/2020
Sully Márquez et al	5	unknown	unknown	unknown	Ecuador/HEE-01/2020,Ecuador/USFQ-556/2020,Ecuador/USFQ-485/2020,Ecuador/USFQ-553/2020,Ecuador/USFQ-555/2020
Erik A Karlsson et al	1	Whole genome and phylogenetic analysis of two SARS-CoV-2 strains isolated in Italy in January and February 2020: additional clues on multiple introductions and further circulation in Europe	unknown	https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305	Cambodia/0012/2020
Agustiningsih et al	1	unknown	unknown	unknown	Indonesia/SB-NIHRD-C007020/2020
Edison Johar et al	4	unknown	unknown	unknown	Indonesia/JK-EIJK-01/2020,Indonesia/JK-EIJK-02/2020,Indonesia/BT-EIJK62/2020,Indonesia/JK-EIJK96/2020
CZB Cliahub Consortium et al	4	unknown	unknown	unknown	USA/CA-CZB-1253/2020,USA/CA-CZB-10198/2020,USA/CA-CZB-13743/2020,USA/CA-CZB-26926/2021
PHE Covid Sequencing Team et al	15	unknown	unknown	unknown	England/20099015104/2020,Bermuda/204990915/2020,Ukraine/203100361/2020,Ukraine/203100360/2020,Albania/210901055/2020,Albania/210901058/2020,Albania/210901074/2021,Albania/210901053/2020,Albania/210901054/2020,Albania/210901051/2021,Albania/210901066/2021,Albania/210901057/2020,Albania/211060667/2021,Albania/210901052/2021,Albania/210901063/2021
Suppiah.J et al	1	unknown	unknown	unknown	Malaysia/IMR_WC1097/2020
Hatem et al	2	unknown	unknown	unknown	Egypt/CCHE57357-A-26/2020,Egypt/CCHE57357-A-22/2020
A Nejati et al	2	unknown	unknown	unknown	Iran/Urmia-931U/2020,Iran/Ghilan-S15-319/2020
Kelsey R. Florek et al	4	unknown	unknown	unknown	USA/WI-WSLH-200263/2020,USA/WI-WSLH-211602/2021,USA/WI-WSLH-201872/2020,USA/WI-WSLH-211605/2021
Cao et al	1	Insights into The Codon Usage Bias of 13 Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Isolates from Different Geo-locations	unknown	http://biorxiv.org/lookup/doi/10.1101/2020.04.01.019463	Vietnam/19-01S/2020
Nurdyana Abdul Rahman et al	5	unknown	unknown	unknown	Singapore/1nan/2020,Singapore/2nan/2020,Singapore/749/2020,Singapore/757/2020,Singapore/1083nan/2020
David Perera et al	5	unknown	unknown	unknown	Malaysia/UNIMAS-M3482/2020,Malaysia/UNIMAS-14960/2020,Malaysia/UNIMAS-15694/2020,Malaysia/UNIMAS-15731/2020,Malaysia/UNIMAS-B074/2020
Kuo-Chien Tsao et al	10	unknown	unknown	unknown	Taiwan/CGMH-CGU-26/2020,Taiwan/CGMH-CGU-29/2020,Taiwan/CGMH-CGU-36/2020,Taiwan/CGMH-CGU-38/2020,Taiwan/CGMH-CGU-45/2020,Taiwan/CGMH-CGU-48/2021,Taiwan/CGMH-CGU-32/2020,Taiwan/CGMH-CGU-44/2020,Taiwan/CGMH-CGU-31/2020,Taiwan/CGMH-CGU-39/2020
Logan Voegtly et al	2	unknown	unknown	unknown	Guam/GU_NHG_01/2020,USA/SC_NHRC_02/2020
Ali et al	1	unknown	unknown	unknown	Pakistan/KP-RMI-01/2020
